profile_id,serial_number,start_date,end_date,source_start_level,source_end_level,initial_fill_percent,end_fill_percent,delta_fill_percent,fill_rate_percent_per_hour
242,1510830,2019-07-21,2019-07-22,2,2,20,20,0,0
243,1510830,2019-07-23,2019-07-24,0,0,0,0,0,0
244,1510830,2019-07-24,2019-07-25,0,0,0,0,0,0
245,1510830,2019-07-25,2019-07-26,0,0,0,0,0,0
246,1510830,2019-07-26,2019-07-27,0,4,0,40,40,1.66666666667
247,1510830,2019-07-27,2019-07-28,4,6,40,60,20,0.833333333333
248,1510830,2019-07-29,2019-07-30,0,0,0,0,0,0
249,1510830,2019-07-30,2019-07-31,0,0,0,0,0,0
250,1510830,2019-07-31,2019-08-01,0,2,0,20,20,0.833333333333
251,1510830,2019-08-01,2019-08-02,2,6,20,60,40,1.66666666667
252,1510830,2019-08-03,2019-08-04,0,0,0,0,0,0
253,1510830,2019-08-04,2019-08-05,0,4,0,40,40,1.66666666667
254,1510830,2019-08-05,2019-08-06,4,4,40,40,0,0
255,1510830,2019-08-06,2019-08-07,4,4,40,40,0,0
256,1510830,2019-08-07,2019-08-08,4,8,40,80,40,1.66666666667
257,1510830,2019-08-09,2019-08-10,0,0,0,0,0,0
258,1510830,2019-08-10,2019-08-11,0,0,0,0,0,0
259,1510830,2019-08-11,2019-08-12,0,0,0,0,0,0
260,1510830,2019-08-12,2019-08-13,0,0,0,0,0,0
261,1510830,2019-08-13,2019-08-14,0,0,0,0,0,0
262,1510830,2019-08-14,2019-08-15,0,6,0,60,60,2.5
263,1510830,2019-08-16,2019-08-17,0,2,0,20,20,0.833333333333
264,1510830,2019-08-17,2019-08-18,2,2,20,20,0,0
265,1510830,2019-08-18,2019-08-19,2,2,20,20,0,0
266,1510830,2019-08-19,2019-08-20,2,4,20,40,20,0.833333333333
267,1510830,2019-08-20,2019-08-21,4,6,40,60,20,0.833333333333
268,1510830,2019-08-22,2019-08-23,0,2,0,20,20,0.833333333333
269,1510830,2019-08-23,2019-08-24,2,6,20,60,40,1.66666666667
270,1510830,2019-08-25,2019-08-26,0,0,0,0,0,0
271,1510830,2019-08-26,2019-08-27,0,0,0,0,0,0
272,1510830,2019-08-27,2019-08-28,0,2,0,20,20,0.833333333333
273,1510830,2019-08-28,2019-08-29,2,4,20,40,20,0.833333333333
274,1510830,2019-08-29,2019-08-30,4,6,40,60,20,0.833333333333
